Car,Year,Manufacturer,MSRP,Drivetrain,Passenger_Capacity,Passenger_Doors,Engine_Type,Engine_Configuration,Cylinders,Body_Style,Transmission_Type,Front_Leg_Room_(in),Second_Shoulder_Room_(in),Passenger_Volume_(ft³),Second_Head_Room_(in),Front_Shoulder_Room_(in),Front_Head_Room_(in),Second_Leg_Room_(in),Wheelbase_(in),"Width,_Max_w/o_mirrors_(in)","Height,_Overall_(in)","Fuel_Tank_Capacity,_Approx_(gal)",Fuel_Economy_Est-Combined_(MPG),EPA_Fuel_Economy_Est_City_(MPG),EPA_Fuel_Economy_Est_Hwy_(MPG),Net_Torque,RPM_NT,Net_HP_Needed,Fuel_Type,Net_HorsePower,RPM_NHP,Net_HP.RPM,Brake_ABS_System,Recirculating_Ball_Steering,Rack_Pinion_steering,Electric_steering,Hydraulic_steering,Speed_Sensitive_steering,Variable_steering,Steering_Type,Turning_Diameter_-_Curb_to_Curb_(ft),Air_Bag-Frontal-Driver,Air_Bag-Frontal-Passenger,Air_Bag-Passenger_Switch_(On/Off),Air_Bag-Side_Body-Front,Air_Bag-Side_Body-Rear,Air_Bag-Side_Head-Front,Air_Bag-Side_Head-Rear,Brakes-ABS,Child_Safety_Rear_Door_Locks,Daytime_Running_Lights,Traction_Control,Night_Vision,Rollover_Protection_Bars,Fog_Lamps,Parking_Aid,Tire_Pressure_Monitor,Back-Up_Camera,Stability_Control,Corrosion_Years,Roadside_Assistance_Miles/km,Roadside_Assistance_Years,"Length,_Overall_(in)",Trunk_Volume_(ft³),Cargo_Volume_(ft³),Suspension_Type,Model_Type
2019 Acura RDX Specs: FWD w/Technology Pkg,2019,Acura,40600,FWD,5,4,I4,I,4,Sport Utility,Automatic,41.6,56.6,104,38.3,59.7,39.6,38.4,108.3,74.8,65.7,17.1,24,22,28,280,1600,85.30083778,Gas,272,6500,1768,4-Channel,No,Yes,No,No,No,No,Rack_Pinion_steering,39,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,5,50000,4,NA,NA,0,MacPherson Strut,Acura RDX
2019 Acura RDX Specs: FWD w/Advance Pkg,2019,Acura,45500,FWD,5,4,I4,I,4,Sport Utility,Automatic,41.6,56.6,104,38.3,59.7,39.6,38.4,108.3,74.8,65.7,17.1,24,22,28,280,1600,85.30083778,Gas,272,6500,1768,4-Channel,No,Yes,No,No,No,No,Rack_Pinion_steering,39,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,5,50000,4,NA,NA,0,MacPherson Strut,Acura RDX
2019 Acura RDX Specs: FWD w/A-Spec Pkg,2019,Acura,43600,FWD,5,4,I4,I,4,Sport Utility,Automatic,41.6,56.6,104,38.3,59.7,39.6,38.4,108.3,74.8,65.7,17.1,24,22,27,280,1600,85.30083778,Gas,272,6500,1768,4-Channel,No,Yes,No,No,No,No,Rack_Pinion_steering,39,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,5,50000,4,NA,NA,0,MacPherson Strut,Acura RDX
2019 Acura RDX Specs: FWD,2019,Acura,37400,FWD,5,4,I4,I,4,Sport Utility,Automatic,41.6,56.6,104,38.3,59.7,39.6,38.4,108.3,74.8,65.7,17.1,24,22,28,280,1600,85.30083778,Gas,272,6500,1768,4-Channel,No,Yes,No,No,No,No,Rack_Pinion_steering,39,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,5,50000,4,NA,NA,0,MacPherson Strut,Acura RDX
2019 Acura RDX Specs: AWD w/Technology Pkg,2019,Acura,42600,AWD,5,4,I4,I,4,Sport Utility,Automatic,41.6,56.6,104,38.3,59.7,39.6,38.4,108.3,74.8,65.7,17.1,23,21,27,280,1600,85.30083778,Gas,272,6500,1768,4-Channel,No,Yes,No,No,No,No,Rack_Pinion_steering,39,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,5,50000,4,NA,NA,0,MacPherson Strut,Acura RDX
2019 Acura RDX Specs: AWD w/Advance Pkg,2019,Acura,47500,AWD,5,4,I4,I,4,Sport Utility,Automatic,41.6,56.6,104,38.3,59.7,39.6,38.4,108.3,74.8,65.7,17.1,23,21,27,280,1600,85.30083778,Gas,272,6500,1768,4-Channel,No,Yes,No,No,No,No,Rack_Pinion_steering,39,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,5,50000,4,NA,NA,0,MacPherson Strut,Acura RDX
2019 Acura RDX Specs: AWD w/A-Spec Pkg,2019,Acura,45600,AWD,5,4,I4,I,4,Sport Utility,Automatic,41.6,56.6,104,38.3,59.7,39.6,38.4,108.3,74.8,65.7,17.1,23,21,26,280,1600,85.30083778,Gas,272,6500,1768,4-Channel,No,Yes,No,No,No,No,Rack_Pinion_steering,39,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,5,50000,4,NA,NA,0,MacPherson Strut,Acura RDX
2018 Acura RDX Specs: AWD,2018,Acura,37500,AWD,5,4,V6,V,6,Sport Utility,Automatic,42,57.2,103.5,38.1,58.7,38.7,38.3,105.7,73.7,65,16,22,19,27,252,4900,235.1104341,Gas,279,6200,1729.8,4-Channel,No,Yes,No,No,No,No,Rack_Pinion_steering,38.9,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,5,50000,4,NA,NA,0,MacPherson Strut,Acura RDX
2018 Acura RDX Specs: FWD w/Technology/AcuraWatch Plus Pkg,2018,Acura,41000,FWD,5,4,V6,V,6,Sport Utility,Automatic,42,57.2,103.5,38.1,58.7,38.7,38.3,105.7,73.7,65,16,23,20,28,252,4900,235.1104341,Gas,279,6200,1729.8,4-Channel,No,Yes,No,No,No,No,Rack_Pinion_steering,38.9,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,5,50000,4,NA,NA,0,MacPherson Strut,Acura RDX
2018 Acura RDX Specs: FWD w/Technology Pkg,2018,Acura,39700,FWD,5,4,V6,V,6,Sport Utility,Automatic,42,57.2,103.5,38.1,58.7,38.7,38.3,105.7,73.7,65,16,23,20,28,252,4900,235.1104341,Gas,279,6200,1729.8,4-Channel,No,Yes,No,No,No,No,Rack_Pinion_steering,38.9,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,5,50000,4,NA,NA,0,MacPherson Strut,Acura RDX
2018 Acura RDX Specs: FWD w/Advance Pkg,2018,Acura,42700,FWD,5,4,V6,V,6,Sport Utility,Automatic,42,57.2,103.5,38.1,58.7,38.7,38.3,105.7,73.7,65,16,23,20,28,252,4900,235.1104341,Gas,279,6200,1729.8,4-Channel,No,Yes,No,No,No,No,Rack_Pinion_steering,38.9,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,5,50000,4,NA,NA,0,MacPherson Strut,Acura RDX
2018 Acura RDX Specs: FWD w/AcuraWatch Plus,2018,Acura,37300,FWD,5,4,V6,V,6,Sport Utility,Automatic,42,57.2,103.5,38.1,58.7,38.7,38.3,105.7,73.7,65,16,23,20,28,252,4900,235.1104341,Gas,279,6200,1729.8,4-Channel,No,Yes,No,No,No,No,Rack_Pinion_steering,38.9,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,5,50000,4,NA,NA,0,MacPherson Strut,Acura RDX
2018 Acura RDX Specs: FWD,2018,Acura,36000,FWD,5,4,V6,V,6,Sport Utility,Automatic,42,57.2,103.5,38.1,58.7,38.7,38.3,105.7,73.7,65,16,23,20,28,252,4900,235.1104341,Gas,279,6200,1729.8,4-Channel,No,Yes,No,No,No,No,Rack_Pinion_steering,38.9,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,5,50000,4,NA,NA,0,MacPherson Strut,Acura RDX
2018 Acura RDX Specs: AWD w/Technology/AcuraWatch Plus Pkg,2018,Acura,42500,AWD,5,4,V6,V,6,Sport Utility,Automatic,42,57.2,103.5,38.1,58.7,38.7,38.3,105.7,73.7,65,16,22,19,27,252,4900,235.1104341,Gas,279,6200,1729.8,4-Channel,No,Yes,No,No,No,No,Rack_Pinion_steering,38.9,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,5,50000,4,NA,NA,0,MacPherson Strut,Acura RDX
2018 Acura RDX Specs: AWD w/Technology Pkg,2018,Acura,41200,AWD,5,4,V6,V,6,Sport Utility,Automatic,42,57.2,103.5,38.1,58.7,38.7,38.3,105.7,73.7,65,16,22,19,27,252,4900,235.1104341,Gas,279,6200,1729.8,4-Channel,No,Yes,No,No,No,No,Rack_Pinion_steering,38.9,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,5,50000,4,NA,NA,0,MacPherson Strut,Acura RDX
2018 Acura RDX Specs: AWD w/Advance Pkg,2018,Acura,44200,AWD,5,4,V6,V,6,Sport Utility,Automatic,42,57.2,103.5,38.1,58.7,38.7,38.3,105.7,73.7,65,16,22,19,27,252,4900,235.1104341,Gas,279,6200,1729.8,4-Channel,No,Yes,No,No,No,No,Rack_Pinion_steering,38.9,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,5,50000,4,NA,NA,0,MacPherson Strut,Acura RDX
2018 Acura RDX Specs: AWD w/AcuraWatch Plus,2018,Acura,38800,AWD,5,4,V6,V,6,Sport Utility,Automatic,42,57.2,103.5,38.1,58.7,38.7,38.3,105.7,73.7,65,16,22,19,27,252,4900,235.1104341,Gas,279,6200,1729.8,4-Channel,No,Yes,No,No,No,No,Rack_Pinion_steering,38.9,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,5,50000,4,NA,NA,0,MacPherson Strut,Acura RDX
2016 Acura RDX Specs: AWD 4-Door,2016,Acura,36870,AWD,5,4,V6,V,6,Sport Utility,Automatic,42,57.2,103.5,38.1,58.7,38.7,38.3,105.7,73.7,65,16,22,19,28,252,4900,235.1104341,Gas,279,6200,1729.8,4-Channel,No,Yes,No,No,No,No,Rack_Pinion_steering,38.9,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,5,50000,4,NA,NA,0,MacPherson Strut,Acura RDX
2016 Acura RDX Specs: FWD 4-Door Tech/AcuraWatch Plus Pkg,2016,Acura,40370,FWD,5,4,V6,V,6,Sport Utility,Automatic,42,57.2,103.5,38.1,58.7,38.7,38.3,105.7,73.7,65,16,23,20,29,252,4900,235.1104341,Gas,279,6200,1729.8,4-Channel,No,Yes,No,No,No,No,Rack_Pinion_steering,38.9,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,5,50000,4,NA,NA,0,MacPherson Strut,Acura RDX
2016 Acura RDX Specs: FWD 4-Door Tech Pkg,2016,Acura,39070,FWD,5,4,V6,V,6,Sport Utility,Automatic,42,57.2,103.5,38.1,58.7,38.7,38.3,105.7,73.7,65,16,23,20,29,252,4900,235.1104341,Gas,279,6200,1729.8,4-Channel,No,Yes,No,No,No,No,Rack_Pinion_steering,38.9,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,5,50000,4,NA,NA,0,MacPherson Strut,Acura RDX
2016 Acura RDX Specs: FWD 4-Door Advance Pkg,2016,Acura,42020,FWD,5,4,V6,V,6,Sport Utility,Automatic,42,57.2,103.5,38.1,58.7,38.7,38.3,105.7,73.7,65,16,23,20,29,252,4900,235.1104341,Gas,279,6200,1729.8,4-Channel,No,Yes,No,No,No,No,Rack_Pinion_steering,38.9,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,5,50000,4,NA,NA,0,MacPherson Strut,Acura RDX
2016 Acura RDX Specs: FWD 4-Door AcuraWatch Plus Pkg,2016,Acura,36670,FWD,5,4,V6,V,6,Sport Utility,Automatic,42,57.2,103.5,38.1,58.7,38.7,38.3,105.7,73.7,65,16,23,20,29,252,4900,235.1104341,Gas,279,6200,1729.8,4-Channel,No,Yes,No,No,No,No,Rack_Pinion_steering,38.9,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,5,50000,4,NA,NA,0,MacPherson Strut,Acura RDX
2016 Acura RDX Specs: FWD 4-Door,2016,Acura,35370,FWD,5,4,V6,V,6,Sport Utility,Automatic,42,57.2,103.5,38.1,58.7,38.7,38.3,105.7,73.7,65,16,23,20,29,252,4900,235.1104341,Gas,279,6200,1729.8,4-Channel,No,Yes,No,No,No,No,Rack_Pinion_steering,38.9,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,5,50000,4,NA,NA,0,MacPherson Strut,Acura RDX
2016 Acura RDX Specs: AWD 4-Door Tech/AcuraWatch Plus Pkg,2016,Acura,41870,AWD,5,4,V6,V,6,Sport Utility,Automatic,42,57.2,103.5,38.1,58.7,38.7,38.3,105.7,73.7,65,16,22,19,28,252,4900,235.1104341,Gas,279,6200,1729.8,4-Channel,No,Yes,No,No,No,No,Rack_Pinion_steering,38.9,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,5,50000,4,NA,NA,0,MacPherson Strut,Acura RDX
2016 Acura RDX Specs: AWD 4-Door Tech Pkg,2016,Acura,40570,AWD,5,4,V6,V,6,Sport Utility,Automatic,42,57.2,103.5,38.1,58.7,38.7,38.3,105.7,73.7,65,16,22,19,28,252,4900,235.1104341,Gas,279,6200,1729.8,4-Channel,No,Yes,No,No,No,No,Rack_Pinion_steering,38.9,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,5,50000,4,NA,NA,0,MacPherson Strut,Acura RDX
2016 Acura RDX Specs: AWD 4-Door Advance Pkg,2016,Acura,43520,AWD,5,4,V6,V,6,Sport Utility,Automatic,42,57.2,103.5,38.1,58.7,38.7,38.3,105.7,73.7,65,16,22,19,28,252,4900,235.1104341,Gas,279,6200,1729.8,4-Channel,No,Yes,No,No,No,No,Rack_Pinion_steering,38.9,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,5,50000,4,NA,NA,0,MacPherson Strut,Acura RDX
2016 Acura RDX Specs: AWD 4-Door AcuraWatch Plus Pkg,2016,Acura,38170,AWD,5,4,V6,V,6,Sport Utility,Automatic,42,57.2,103.5,38.1,58.7,38.7,38.3,105.7,73.7,65,16,22,19,28,252,4900,235.1104341,Gas,279,6200,1729.8,4-Channel,No,Yes,No,No,No,No,Rack_Pinion_steering,38.9,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,5,50000,4,NA,NA,0,MacPherson Strut,Acura RDX
2015 Acura RDX Specs: AWD 4-Door,2015,Acura,36495,AWD,5,4,V6,V,6,Sport Utility,Automatic,42,57.2,103.5,38.1,58.7,38.7,38.3,105.7,73.7,66.1,16,22,19,27,251,5000,238.956588,Gas,273,6200,1692.6,4-Channel,No,Yes,No,No,No,No,Rack_Pinion_steering,38.9,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,5,50000,4,NA,NA,0,MacPherson Strut,Acura RDX
2015 Acura RDX Specs: FWD 4-Door Tech Pkg,2015,Acura,38795,FWD,5,4,V6,V,6,Sport Utility,Automatic,42,57.2,103.5,38.1,58.7,38.7,38.3,105.7,73.7,66.1,16,23,20,28,251,5000,238.956588,Gas,273,6200,1692.6,4-Channel,No,Yes,No,No,No,No,Rack_Pinion_steering,38.9,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,5,50000,4,NA,NA,0,MacPherson Strut,Acura RDX
2015 Acura RDX Specs: FWD 4-Door,2015,Acura,35095,FWD,5,4,V6,V,6,Sport Utility,Automatic,42,57.2,103.5,38.1,58.7,38.7,38.3,105.7,73.7,66.1,16,23,20,28,251,5000,238.956588,Gas,273,6200,1692.6,4-Channel,No,Yes,No,No,No,No,Rack_Pinion_steering,38.9,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,5,50000,4,NA,NA,0,MacPherson Strut,Acura RDX
2015 Acura RDX Specs: AWD 4-Door Tech Pkg,2015,Acura,40195,AWD,5,4,V6,V,6,Sport Utility,Automatic,42,57.2,103.5,38.1,58.7,38.7,38.3,105.7,73.7,66.1,16,22,19,27,251,5000,238.956588,Gas,273,6200,1692.6,4-Channel,No,Yes,No,No,No,No,Rack_Pinion_steering,38.9,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,5,50000,4,NA,NA,0,MacPherson Strut,Acura RDX
2014 Acura RDX Specs: AWD 4-Door,2014,Acura,35920,AWD,5,4,V6,V,6,Sport Utility,Automatic,42,57.2,103.5,38.1,58.7,38.7,38.3,105.7,73.7,66.1,16,22,19,27,251,5000,238.956588,Gas,273,6200,1692.6,4-Channel,No,Yes,No,No,No,No,Rack_Pinion_steering,38.9,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,5,50000,4,NA,NA,0,MacPherson Strut,Acura RDX
2014 Acura RDX Specs: FWD 4-Door Tech Pkg,2014,Acura,38220,FWD,5,4,V6,V,6,Sport Utility,Automatic,42,57.2,103.5,38.1,58.7,38.7,38.3,105.7,73.7,66.1,16,23,20,28,251,5000,238.956588,Gas,273,6200,1692.6,4-Channel,No,Yes,No,No,No,No,Rack_Pinion_steering,38.9,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,5,50000,4,NA,NA,0,MacPherson Strut,Acura RDX
2014 Acura RDX Specs: FWD 4-Door,2014,Acura,34520,FWD,5,4,V6,V,6,Sport Utility,Automatic,42,57.2,103.5,38.1,58.7,38.7,38.3,105.7,73.7,66.1,16,23,20,28,251,5000,238.956588,Gas,273,6200,1692.6,4-Channel,No,Yes,No,No,No,No,Rack_Pinion_steering,38.9,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,5,50000,4,NA,NA,0,MacPherson Strut,Acura RDX
2014 Acura RDX Specs: AWD 4-Door Tech Pkg,2014,Acura,39620,AWD,5,4,V6,V,6,Sport Utility,Automatic,42,57.2,103.5,38.1,58.7,38.7,38.3,105.7,73.7,66.1,16,22,19,27,251,5000,238.956588,Gas,273,6200,1692.6,4-Channel,No,Yes,No,No,No,No,Rack_Pinion_steering,38.9,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,5,50000,4,NA,NA,0,MacPherson Strut,Acura RDX
2019 Acura MDX Specs: FWD,2019,Acura,44300,FWD,7,4,V6,V,6,Sport Utility,Automatic,41.4,59.1,132.7,38.3,61.1,38.1,38.5,111,77.7,67.4,19.5,22,20,27,267,4700,238.9375476,Gas,290,6200,1798,4-Channel,No,Yes,No,No,No,No,Rack_Pinion_steering,38.7,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,5,50000,4,NA,NA,0,MacPherson Strut,Acura MDX
2019 Acura MDX Specs: SH-AWD w/Technology/Entertainment Pkg,2019,Acura,53300,AWD,6,4,V6,V,6,Sport Utility,Automatic,41.4,59.1,132.7,38.3,61.1,38.1,38.5,111,77.7,67.4,19.5,21,19,26,267,4700,238.9375476,Gas,290,6200,1798,4-Channel,No,Yes,No,No,No,No,Rack_Pinion_steering,38.7,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,5,50000,4,NA,NA,0,MacPherson Strut,Acura MDX
2019 Acura MDX Specs: SH-AWD w/Technology/A-Spec Pkg,2019,Acura,54800,AWD,7,4,V6,V,6,Sport Utility,Automatic,41.4,59.1,132.7,38.3,61.1,38.1,38.5,111,77.7,67.4,19.5,21,19,25,267,4700,238.9375476,Gas,290,6200,1798,4-Channel,No,Yes,No,No,No,No,Rack_Pinion_steering,38.7,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,5,50000,4,NA,NA,0,MacPherson Strut,Acura MDX
2019 Acura MDX Specs: SH-AWD w/Technology Pkg,2019,Acura,51300,AWD,7,4,V6,V,6,Sport Utility,Automatic,41.4,59.1,132.7,38.3,61.1,38.1,38.5,111,77.7,67.4,19.5,21,19,26,267,4700,238.9375476,Gas,290,6200,1798,4-Channel,No,Yes,No,No,No,No,Rack_Pinion_steering,38.7,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,5,50000,4,NA,NA,0,MacPherson Strut,Acura MDX
2019 Acura MDX Specs: SH-AWD w/Advance/Entertainment Pkg,2019,Acura,60050,AWD,7,4,V6,V,6,Sport Utility,Automatic,41.4,59.1,132.7,38.3,61.1,38.1,38.5,111,77.7,67.4,19.5,21,19,26,267,4700,238.9375476,Gas,290,6200,1798,4-Channel,No,Yes,No,No,No,No,Rack_Pinion_steering,38.7,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,5,50000,4,NA,NA,0,MacPherson Strut,Acura MDX
2019 Acura MDX Specs: SH-AWD w/Advance Pkg,2019,Acura,58050,AWD,6,4,V6,V,6,Sport Utility,Automatic,41.4,59.1,132.7,38.3,61.1,38.1,38.5,111,77.7,67.4,19.5,21,19,26,267,4700,238.9375476,Gas,290,6200,1798,4-Channel,No,Yes,No,No,No,No,Rack_Pinion_steering,38.7,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,5,50000,4,NA,NA,0,MacPherson Strut,Acura MDX
2019 Acura MDX Specs: SH-AWD Sport Hybrid w/Technology Pkg,2019,Acura,52800,AWD,7,4,V6,V,6,Sport Utility,Automatic,41.4,59.1,131.4,38.3,61.1,38.1,38.5,111,77.7,67.4,19.4,26,26,27,NA,NA,NA,Hybrid,321,6300,2022.3,4-Channel,No,Yes,No,No,No,No,Rack_Pinion_steering,38.4,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,5,50000,4,NA,NA,0,MacPherson Strut,Acura MDX
2019 Acura MDX Specs: SH-AWD Sport Hybrid w/Advance Pkg,2019,Acura,59550,AWD,6,4,V6,V,6,Sport Utility,Automatic,41.4,59.1,131.4,38.3,61.1,38.1,38.5,111,77.7,67.4,19.4,26,26,27,NA,NA,NA,Hybrid,321,6300,2022.3,4-Channel,No,Yes,No,No,No,No,Rack_Pinion_steering,38.4,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,5,50000,4,NA,NA,0,MacPherson Strut,Acura MDX
2019 Acura MDX Specs: SH-AWD,2019,Acura,46300,AWD,7,4,V6,V,6,Sport Utility,Automatic,41.4,59.1,132.7,38.3,61.1,38.1,38.5,111,77.7,67.4,19.5,21,19,26,267,4700,238.9375476,Gas,290,6200,1798,4-Channel,No,Yes,No,No,No,No,Rack_Pinion_steering,38.7,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,5,50000,4,NA,NA,0,MacPherson Strut,Acura MDX
2019 Acura MDX Specs: FWD w/Technology/Entertainment Pkg,2019,Acura,51300,FWD,6,4,V6,V,6,Sport Utility,Automatic,41.4,59.1,132.7,38.3,61.1,38.1,38.5,111,77.7,67.4,19.5,22,20,27,267,4700,238.9375476,Gas,290,6200,1798,4-Channel,No,Yes,No,No,No,No,Rack_Pinion_steering,38.7,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,5,50000,4,NA,NA,0,MacPherson Strut,Acura MDX
2019 Acura MDX Specs: FWD w/Technology Pkg,2019,Acura,49300,FWD,7,4,V6,V,6,Sport Utility,Automatic,41.4,59.1,132.7,38.3,61.1,38.1,38.5,111,77.7,67.4,19.5,22,20,27,267,4700,238.9375476,Gas,290,6200,1798,4-Channel,No,Yes,No,No,No,No,Rack_Pinion_steering,38.7,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,5,50000,4,NA,NA,0,MacPherson Strut,Acura MDX
2019 Acura MDX Specs: FWD w/Advance/Entertainment Pkg,2019,Acura,58050,FWD,7,4,V6,V,6,Sport Utility,Automatic,41.4,59.1,132.7,38.3,61.1,38.1,38.5,111,77.7,67.4,19.5,22,20,27,267,4700,238.9375476,Gas,290,6200,1798,4-Channel,No,Yes,No,No,No,No,Rack_Pinion_steering,38.7,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,5,50000,4,NA,NA,0,MacPherson Strut,Acura MDX
2019 Acura MDX Specs: FWD w/Advance Pkg,2019,Acura,56050,FWD,6,4,V6,V,6,Sport Utility,Automatic,41.4,59.1,132.7,38.3,61.1,38.1,38.5,111,77.7,67.4,19.5,22,20,27,267,4700,238.9375476,Gas,290,6200,1798,4-Channel,No,Yes,No,No,No,No,Rack_Pinion_steering,38.7,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,5,50000,4,NA,NA,0,MacPherson Strut,Acura MDX
2018 Acura MDX Specs: FWD,2018,Acura,44200,FWD,7,4,V6,V,6,Sport Utility,Automatic,41.4,59.1,132.7,38.3,61.1,38.1,38.5,111,77.7,67.4,19.5,22,19,27,267,4700,238.9375476,Gas,290,6200,1798,4-Channel,No,Yes,No,No,No,No,Rack_Pinion_steering,38.7,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,5,50000,4,NA,NA,0,MacPherson Strut,Acura MDX
2018 Acura MDX Specs: SH-AWD w/Technology/Entertainment Pkg,2018,Acura,52600,AWD,7,4,V6,V,6,Sport Utility,Automatic,41.4,59.1,132.7,38.3,61.1,38.1,38.5,111,77.7,67.4,19.5,21,18,26,267,4700,238.9375476,Gas,290,6200,1798,4-Channel,No,Yes,No,No,No,No,Rack_Pinion_steering,38.7,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,5,50000,4,NA,NA,0,MacPherson Strut,Acura MDX
