Car,Year,Manufacturer,MSRP,Drivetrain,Passenger_Capacity,Passenger_Doors,Engine_Type,Engine_Configuration,Cylinders,Body_Style,Transmission_Type,Front_Leg_Room_(in),Second_Shoulder_Room_(in),Passenger_Volume_(ft³),Second_Head_Room_(in),Front_Shoulder_Room_(in),Front_Head_Room_(in),Second_Leg_Room_(in),Wheelbase_(in),"Width,_Max_w/o_mirrors_(in)","Height,_Overall_(in)","Fuel_Tank_Capacity,_Approx_(gal)",Fuel_Economy_Est-Combined_(MPG),EPA_Fuel_Economy_Est_City_(MPG),EPA_Fuel_Economy_Est_Hwy_(MPG),Net_Torque,RPM_NT,Net_HP_Needed,Fuel_Type,Net_HorsePower,RPM_NHP,Net_HP.RPM,Brake_ABS_System,Recirculating_Ball_Steering,Rack_Pinion_steering,Electric_steering,Hydraulic_steering,Speed_Sensitive_steering,Variable_steering,Steering_Type,Turning_Diameter_-_Curb_to_Curb_(ft),Air_Bag-Frontal-Driver,Air_Bag-Frontal-Passenger,Air_Bag-Passenger_Switch_(On/Off),Air_Bag-Side_Body-Front,Air_Bag-Side_Body-Rear,Air_Bag-Side_Head-Front,Air_Bag-Side_Head-Rear,Brakes-ABS,Child_Safety_Rear_Door_Locks,Daytime_Running_Lights,Traction_Control,Night_Vision,Rollover_Protection_Bars,Fog_Lamps,Parking_Aid,Tire_Pressure_Monitor,Back-Up_Camera,Stability_Control,Corrosion_Years,Roadside_Assistance_Miles/km,Roadside_Assistance_Years,"Length,_Overall_(in)",Trunk_Volume_(ft³),Cargo_Volume_(ft³),Suspension_Type,Model_Type
2015 Ford Fusion Specs: 4-Door Sedan S Hybrid FWD,2015,Ford,26575,FWD,5,4,I4,I,4,4dr Car,Automatic,44.3,56.9,102.8,37.8,57.8,39.2,38.3,112.2,72.9,58,14,43,44,41,129,4000,98.24828637,Hybrid,188,6000,1128,4-Channel,No,Yes,No,No,No,No,Rack_Pinion_steering,37.6,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,5,60000,5,191.8,12,0,MacPherson Strut,Ford Fusion
2015 Ford Fusion Specs: 4-Door Sedan S FWD,2015,Ford,22500,FWD,5,4,I4,I,4,4dr Car,Automatic,44.3,56.9,102.8,37.8,57.8,39.2,38.3,112.2,72.9,58.1,16.5,26,22,34,175,4500,149.9428789,Gas,175,6000,1050,4-Channel,No,Yes,No,No,No,No,Rack_Pinion_steering,37.6,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,5,60000,5,191.7,16,0,MacPherson Strut,Ford Fusion
2015 Ford Fusion Specs: 4-Door Sedan Titanium AWD,2015,Ford,32780,AWD,5,4,I4,I,4,4dr Car,Automatic,44.3,56.9,102.8,37.8,57.8,39.2,38.3,112.2,72.9,58.1,17.5,25,22,31,270,3000,154.2269612,Gas,231,5500,1270.5,4-Channel,No,Yes,No,No,No,No,Rack_Pinion_steering,37.6,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,5,60000,5,191.7,16,0,MacPherson Strut,Ford Fusion
2014 Ford Fusion Specs: 4-Door Sedan Titanium AWD,2014,Ford,32600,AWD,5,4,I4,I,4,4dr Car,Automatic,44.3,56.9,102.8,37.8,57.8,39.2,38.3,112.2,72.9,58.1,17.5,25,22,31,270,3000,154.2269612,Gas,231,5500,1270.5,4-Channel,No,Yes,No,No,No,No,Rack_Pinion_steering,37.6,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,5,60000,5,191.7,16,0,MacPherson Strut,Ford Fusion
2014 Ford Fusion Specs: 4-Door Sedan Titanium Hybrid FWD,2014,Ford,32600,FWD,5,4,I4,I,4,4dr Car,Automatic,44.3,56.9,102.8,37.8,57.8,39.2,38.3,112.2,72.9,58,14,43,44,41,129,4000,98.24828637,Hybrid,188,6000,1128,4-Channel,No,Yes,No,No,No,No,Rack_Pinion_steering,37.6,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,5,60000,5,191.8,12,0,MacPherson Strut,Ford Fusion
2014 Ford Fusion Specs: 4-Door Sedan Titanium FWD,2014,Ford,30600,FWD,5,4,I4,I,4,4dr Car,Automatic,44.3,56.9,102.8,37.8,57.8,39.2,38.3,112.2,72.9,58.1,16.5,26,22,33,270,3000,154.2269612,Gas,231,5500,1270.5,4-Channel,No,Yes,No,No,No,No,Rack_Pinion_steering,37.6,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,5,60000,5,191.7,16,0,MacPherson Strut,Ford Fusion
2014 Ford Fusion Specs: 4-Door Sedan SE Hybrid FWD,2014,Ford,27280,FWD,5,4,I4,I,4,4dr Car,Automatic,44.3,56.9,102.8,37.8,57.8,39.2,38.3,112.2,72.9,58,14,43,44,41,129,4000,98.24828637,Hybrid,188,6000,1128,4-Channel,No,Yes,No,No,No,No,Rack_Pinion_steering,37.6,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,Yes,5,60000,5,191.8,12,0,MacPherson Strut,Ford Fusion
2014 Ford Fusion Specs: 4-Door Sedan SE FWD,2014,Ford,23935,FWD,5,4,I4,I,4,4dr Car,Automatic,44.3,56.9,102.8,37.8,57.8,39.2,38.3,112.2,72.9,58.1,16.5,26,22,34,175,4500,149.9428789,Gas,175,6000,1050,4-Channel,No,Yes,No,No,No,No,Rack_Pinion_steering,37.6,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,Yes,5,60000,5,191.7,16,0,MacPherson Strut,Ford Fusion
2014 Ford Fusion Specs: 4-Door Sedan S Hybrid FWD,2014,Ford,26270,FWD,5,4,I4,I,4,4dr Car,Automatic,44.3,56.9,102.8,37.8,57.8,39.2,38.3,112.2,72.9,58,14,43,44,41,129,4000,98.24828637,Hybrid,188,6000,1128,4-Channel,No,Yes,No,No,No,No,Rack_Pinion_steering,37.6,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,Yes,5,60000,5,191.8,12,0,MacPherson Strut,Ford Fusion
2014 Ford Fusion Specs: 4-Door Sedan S FWD,2014,Ford,21970,FWD,5,4,I4,I,4,4dr Car,Automatic,44.3,56.9,102.8,37.8,57.8,39.2,38.3,112.2,72.9,58.1,16.5,26,22,34,175,4500,149.9428789,Gas,175,6000,1050,4-Channel,No,Yes,No,No,No,No,Rack_Pinion_steering,37.6,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,Yes,5,60000,5,191.7,16,0,MacPherson Strut,Ford Fusion
2019 Ford Expedition Specs: Limited 4x2,2019,Ford,63015,RWD,8,4,V6,V,6,Sport Utility,Automatic,43.9,64.8,NA,40,64.9,42,41.5,122.5,83.6,76.6,23.3,19,17,24,470,3500,313.2140137,Gas,375,5000,1875,4-Channel,No,Yes,No,No,No,No,Rack_Pinion_steering,41,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,5,60000,5,NA,NA,0,Double Wishbone,Ford Expedition
2019 Ford Expedition Specs: XLT 4x4,2019,Ford,55140,4WD,8,4,V6,V,6,Sport Utility,Automatic,43.9,64.8,NA,40,64.9,42,41.5,122.5,83.6,76.4,23.3,19,17,22,470,3500,313.2140137,Gas,375,5000,1875,4-Channel,No,Yes,No,No,No,No,Rack_Pinion_steering,41,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,5,60000,5,NA,NA,0,Double Wishbone,Ford Expedition
2019 Ford Expedition Specs: Platinum 4x4,2019,Ford,76515,4WD,8,4,V6,V,6,Sport Utility,Automatic,43.9,64.8,NA,40,64.9,42,41.5,122.5,83.6,76.4,23.3,19,17,22,480,3250,297.029703,Gas,400,5000,2000,4-Channel,No,Yes,No,No,No,No,Rack_Pinion_steering,41,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,5,60000,5,NA,NA,0,Double Wishbone,Ford Expedition
2019 Ford Expedition Specs: Limited 4x4,2019,Ford,66140,4WD,8,4,V6,V,6,Sport Utility,Automatic,43.9,64.8,NA,40,64.9,42,41.5,122.5,83.6,76.4,23.3,19,17,22,470,3500,313.2140137,Gas,375,5000,1875,4-Channel,No,Yes,No,No,No,No,Rack_Pinion_steering,41,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,5,60000,5,NA,NA,0,Double Wishbone,Ford Expedition
2019 Ford Expedition Specs: XLT 4x2,2019,Ford,52130,RWD,8,4,V6,V,6,Sport Utility,Automatic,43.9,64.8,NA,40,64.9,42,41.5,122.5,83.6,76.6,23.3,19,17,24,470,3500,313.2140137,Gas,375,5000,1875,4-Channel,No,Yes,No,No,No,No,Rack_Pinion_steering,41,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,5,60000,5,NA,NA,0,Double Wishbone,Ford Expedition
2019 Ford Expedition Specs: Platinum 4x2,2019,Ford,73365,RWD,8,4,V6,V,6,Sport Utility,Automatic,43.9,64.8,NA,40,64.9,42,41.5,122.5,83.6,76.6,23.3,19,17,24,480,3250,297.029703,Gas,400,5000,2000,4-Channel,No,Yes,No,No,No,No,Rack_Pinion_steering,41,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,5,60000,5,NA,NA,0,Double Wishbone,Ford Expedition
